timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T16:20:01.645646,952,move_left,375.0,317.5,dx=-31.0px
2026-06-12T16:20:01.844646,956,move_right,446.0,308.5,dx=71.0px
2026-06-12T16:20:02.269646,968,move_left,376.5,312.5,dx=-69.5px
2026-06-12T16:20:03.855812,1004,move_right,411.0,312.5,dx=21.5px
2026-06-12T16:20:08.556959,1132,move_left,268.0,311.0,dx=-144.0px
2026-06-12T16:20:24.151042,1596,move_right,348.5,365.0,dx=80.5px
2026-06-12T16:20:24.152041,1596,move_down,348.5,365.0,dy=54.0px
