timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T16:47:32.753362,124,move_left,269.95,284.84,dx=-28.1px
2026-06-12T16:47:34.246616,152,move_right,316.0,291.5,dx=46.1px
2026-06-12T16:47:40.019395,256,move_right,347.0,289.5,dx=20.1px
2026-06-12T16:47:48.720353,468,move_left,323.0,304.0,dx=-51.5px
2026-06-12T16:47:49.636635,480,move_left,282.5,308.5,dx=-40.5px
2026-06-12T16:47:53.715049,488,blink,293.727522768352,330.49995076376774,
2026-06-12T16:47:53.715049,488,move_down,293.727522768352,330.49995076376774,dy=22.8px
2026-06-12T16:48:09.054200,524,blink,294.1863824681378,310.403205340092,
2026-06-12T16:48:09.453819,536,blink,294.1863824681378,310.403205340092,
2026-06-12T16:48:25.306114,992,move_right,442.0,240.0,dx=147.8px
2026-06-12T16:48:25.306114,992,move_up,442.0,240.0,dy=-70.4px
2026-06-12T16:48:28.153092,1060,smile,400.0,257.5,
2026-06-12T16:48:28.154222,1060,move_left,400.0,257.5,dx=-42.0px
2026-06-12T16:48:29.727539,1072,smile,354.71,257.12,
2026-06-12T16:48:34.305696,1136,move_right,371.5,248.0,dx=49.7px
2026-06-12T16:48:35.009487,1140,move_left,302.0,256.5,dx=-69.5px
2026-06-12T16:48:35.855281,1148,move_left,280.44,255.62,dx=-21.6px
2026-06-12T16:48:37.687116,1152,move_right,305.69518688,265.13741824000004,dx=25.3px
2026-06-12T16:48:43.386439,1272,blink,448.0,271.0,
2026-06-12T16:48:43.386439,1272,move_right,448.0,271.0,dx=124.3px
2026-06-12T16:48:48.120726,1364,move_down,424.5,295.0,dy=24.4px
2026-06-12T16:48:50.316377,1412,blink,431.5,296.0,
2026-06-12T16:48:50.754535,1424,blink,431.5,296.0,
2026-06-12T16:48:55.394603,1492,smile,387.0,240.5,
2026-06-12T16:48:55.394603,1492,move_left,387.0,240.5,dx=-43.6px
2026-06-12T16:48:55.395603,1492,move_up,387.0,240.5,dy=-58.6px
2026-06-12T16:48:56.906449,1504,smile,367.56,239.5,
