timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T15:01:28.023008,96,move_down,454.5,265.0,dy=24.0px
2026-06-12T15:01:29.417215,116,move_left,383.0,295.0,dx=-46.0px
2026-06-12T15:01:46.741372,624,move_right,438.0,288.0,dx=199.5px
2026-06-12T15:01:47.025918,628,move_left,382.0,350.0,dx=-56.0px
2026-06-12T15:01:47.025918,628,move_down,382.0,350.0,dy=62.0px
2026-06-12T15:01:47.408324,636,move_left,345.5,337.0,dx=-36.5px
2026-06-12T15:01:48.243465,648,blink,321.0,334.5,
2026-06-12T15:01:48.244464,648,move_left,321.0,334.5,dx=-31.0px
2026-06-12T15:01:48.805641,656,move_right,342.0,325.0,dx=24.0px
2026-06-12T15:01:49.299694,664,move_right,404.5,320.0,dx=24.5px
2026-06-12T15:01:52.372573,752,move_left,339.5,336.0,dx=-51.5px
2026-06-12T15:01:58.987761,924,move_left,204.5,349.0,dx=-118.0px
2026-06-12T15:01:59.270338,928,move_right,328.0,343.0,dx=123.5px
2026-06-12T15:01:59.479952,932,move_up,369.0,321.0,dy=-22.0px
2026-06-12T15:02:00.083449,948,blink,348.0,265.5,
2026-06-12T15:02:00.083449,948,move_left,348.0,265.5,dx=-21.0px
2026-06-12T15:02:00.084449,948,move_up,348.0,265.5,dy=-55.5px
2026-06-12T15:02:03.055036,1028,move_right,376.0,221.5,dx=28.0px
2026-06-12T15:02:03.055036,1028,move_up,376.0,221.5,dy=-44.0px
2026-06-12T15:02:03.543719,1036,blink,364.5,203.0,
2026-06-12T15:02:04.747158,1068,blink,291.5,185.0,
2026-06-12T15:02:04.747158,1068,move_left,291.5,185.0,dx=-83.5px
2026-06-12T15:02:04.747158,1068,move_up,291.5,185.0,dy=-27.0px
2026-06-12T15:02:09.578274,1208,move_right,443.5,201.5,dx=152.0px
2026-06-12T15:02:09.861261,1212,blink,437.5,238.0,
2026-06-12T15:02:09.861261,1212,move_down,437.5,238.0,dy=36.5px
2026-06-12T15:02:10.070141,1216,move_left,385.5,223.5,dx=-52.0px
2026-06-12T15:02:10.883643,1236,move_left,279.5,149.5,dx=-91.5px
2026-06-12T15:02:10.883643,1236,move_up,279.5,149.5,dy=-54.0px
2026-06-12T15:02:13.848465,1320,move_right,462.0,302.0,dx=182.5px
2026-06-12T15:02:13.848465,1320,move_down,462.0,302.0,dy=152.5px
2026-06-12T15:02:20.090059,1480,move_up,457.0,325.5,dy=-22.0px
2026-06-12T15:02:20.303760,1484,move_left,423.5,327.0,dx=-33.5px
2026-06-12T15:02:22.186340,1532,move_left,336.0,336.0,dx=-41.5px
2026-06-12T15:02:32.109937,1768,move_left,261.5,328.5,dx=-72.5px
2026-06-12T15:02:32.392643,1772,move_right,443.0,254.5,dx=181.5px
2026-06-12T15:02:32.392643,1772,move_up,443.0,254.5,dy=-74.0px
