timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T16:59:38.283339,1272,move_right,168.5,236.0,dx=57.0px
2026-06-12T17:00:14.371229,2016,move_right,337.0,251.0,dx=170.9px
2026-06-12T17:00:14.371229,2016,move_down,337.0,251.0,dy=20.0px
2026-06-12T17:00:45.257315,2776,blink,148.5,210.5,
2026-06-12T17:00:45.258322,2776,move_left,148.5,210.5,dx=-210.6px
2026-06-12T17:00:45.259320,2776,move_up,148.5,210.5,dy=-42.3px
2026-06-12T17:00:45.654458,2788,blink,148.5,210.5,
2026-06-12T17:01:48.754534,4648,move_right,229.5,219.0,dx=81.0px
2026-06-12T17:01:53.937893,4720,move_left,217.0,278.5,dx=-26.5px
2026-06-12T17:01:53.937893,4720,move_down,217.0,278.5,dy=29.1px
2026-06-12T17:02:08.003869,4936,blink,216.54272400000002,268.438752,
2026-06-12T17:02:14.034567,4956,blink,203.7115896162797,260.02089877830986,
2026-06-12T17:02:14.427577,4968,blink,203.7115896162797,260.02089877830986,
