timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T15:04:34.628604,176,move_right,349.0,296.5,dx=37.5px
2026-06-12T15:04:34.629521,176,move_down,349.0,296.5,dy=53.0px
2026-06-12T15:04:35.410055,188,move_left,342.0,293.0,dx=-22.5px
2026-06-12T15:04:36.083746,204,move_left,300.5,307.5,dx=-41.5px
2026-06-12T15:04:36.375514,208,move_right,343.5,305.5,dx=43.0px
2026-06-12T15:04:38.941767,280,move_right,383.5,296.0,dx=30.5px
2026-06-12T15:04:41.405042,340,move_right,444.5,283.0,dx=44.5px
2026-06-12T15:04:46.126812,468,move_right,511.0,335.5,dx=47.0px
2026-06-12T15:04:46.126812,468,move_down,511.0,335.5,dy=62.0px
2026-06-12T15:04:46.371836,472,blink,516.0,358.0,
2026-06-12T15:04:52.132791,640,move_left,441.5,318.5,dx=-74.5px
2026-06-12T15:04:52.137784,640,move_up,441.5,318.5,dy=-39.5px
2026-06-12T15:05:01.452933,884,move_right,474.0,306.5,dx=63.5px
2026-06-12T15:05:31.804619,1764,move_left,360.5,239.5,dx=-126.5px
2026-06-12T15:05:31.804619,1764,move_up,360.5,239.5,dy=-54.0px
2026-06-12T15:05:32.094238,1768,move_right,385.5,301.0,dx=25.0px
2026-06-12T15:05:32.094238,1768,move_down,385.5,301.0,dy=61.5px
2026-06-12T15:05:32.377738,1772,move_left,351.0,353.0,dx=-34.5px
2026-06-12T15:05:33.232911,1784,move_right,394.0,369.5,dx=27.0px
2026-06-12T15:06:22.519976,3180,move_left,444.5,239.5,dx=-52.5px
2026-06-12T15:06:22.520982,3180,move_up,444.5,239.5,dy=-113.0px
2026-06-12T15:06:23.132173,3196,move_right,498.0,275.5,dx=53.5px
2026-06-12T15:06:23.132173,3196,move_down,498.0,275.5,dy=36.0px
