timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T15:00:21.645607,28,blink,365.0,285.0,
2026-06-12T15:00:22.509178,44,blink,377.0,282.5,
2026-06-12T15:00:23.330499,60,blink,356.5,291.0,
2026-06-12T15:00:23.889262,72,blink,354.0,290.0,
2026-06-12T15:00:26.235764,120,blink,370.5,301.5,
2026-06-12T15:00:26.815496,132,blink,370.5,301.5,
2026-06-12T15:00:31.537238,144,blink,388.5,298.5,
2026-06-12T15:00:34.430160,212,move_left,246.5,301.0,dx=-146.5px
2026-06-12T15:00:40.891425,400,move_left,173.5,295.5,dx=-73.0px
2026-06-12T15:00:41.068394,404,move_right,215.5,285.5,dx=42.0px
2026-06-12T15:00:41.438499,412,blink,421.5,268.5,
2026-06-12T15:00:41.439502,412,move_right,421.5,268.5,dx=103.0px
2026-06-12T15:00:45.870787,540,move_left,414.0,280.5,dx=-22.0px
2026-06-12T15:00:46.237403,548,blink,387.5,256.5,
