timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T16:16:14.158080,1836,move_right,479.0,279.0,dx=157.5px
2026-06-12T16:16:14.159080,1836,move_up,479.0,279.0,dy=-98.0px
2026-06-12T16:16:14.319080,1840,move_left,439.0,284.0,dx=-40.0px
2026-06-12T16:16:19.557375,1948,move_left,452.5,292.0,dx=-28.0px
2026-06-12T16:16:20.940975,1988,move_left,431.5,293.5,dx=-21.0px
2026-06-12T16:16:24.399605,2084,move_left,204.5,310.0,dx=-217.5px
2026-06-12T16:16:27.539950,2160,move_right,253.5,313.0,dx=28.5px
2026-06-12T16:16:33.681336,2272,move_down,278.0,337.5,dy=22.5px
2026-06-12T16:16:42.924632,2424,blink,271.5,339.5,
2026-06-12T16:16:45.410040,2460,move_left,237.5,330.5,dx=-35.0px
2026-06-12T16:16:45.754228,2468,move_left,146.0,314.5,dx=-55.0px
2026-06-12T16:16:54.878898,2740,move_right,178.0,308.0,dx=32.0px
2026-06-12T16:16:55.745901,2756,move_right,227.5,289.5,dx=30.5px
2026-06-12T16:16:56.273898,2768,blink,236.5,284.0,
2026-06-12T16:16:57.054898,2780,blink,257.0,300.5,
2026-06-12T16:16:57.926552,2800,move_right,292.0,292.0,dx=35.0px
2026-06-12T16:16:58.063544,2804,blink,296.5,294.0,
2026-06-12T16:16:58.239544,2808,move_right,333.0,298.0,dx=36.5px
2026-06-12T16:16:58.670327,2816,move_right,464.0,303.5,dx=41.0px
2026-06-12T16:17:00.571565,2868,move_left,292.5,351.0,dx=-171.5px
2026-06-12T16:17:00.572556,2868,move_down,292.5,351.0,dy=47.5px
2026-06-12T16:17:00.970557,2876,move_left,267.5,350.0,dx=-32.5px
2026-06-12T16:17:04.167429,2924,move_right,292.5,350.0,dx=28.0px
