timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T07:45:52.883705,740,blink,520.0,260.0,
2026-06-12T07:45:56.140155,808,move_left,488.0,262.0,dx=-28.0px
2026-06-12T07:45:58.535057,844,move_right,489.5,261.5,dx=47.0px
2026-06-12T07:46:08.256345,988,blink,440.0,267.0,
2026-06-12T07:46:10.429832,1008,move_left,407.5,269.5,dx=-29.5px
2026-06-12T07:46:12.014756,1020,move_right,458.0,261.5,dx=49.0px
2026-06-12T07:46:22.101003,1300,smile,497.5,230.5,
2026-06-12T07:46:22.101152,1300,move_up,497.5,230.5,dy=-30.5px
2026-06-12T07:46:22.579817,1304,move_left,369.5,242.5,dx=-128.0px
2026-06-12T07:46:23.498693,1312,smile,262.0,225.0,
2026-06-12T07:46:23.498940,1312,move_left,262.0,225.0,dx=-31.5px
2026-06-12T07:46:24.424752,1320,move_right,296.5,245.5,dx=21.5px
2026-06-12T07:46:26.233451,1336,move_right,400.5,250.5,dx=50.5px
2026-06-12T07:46:28.492923,1352,move_right,420.0,257.5,dx=21.5px
2026-06-12T07:46:30.773184,1368,move_right,501.0,253.5,dx=31.5px
2026-06-12T07:46:37.361246,1416,move_left,423.0,263.5,dx=-87.0px
2026-06-12T07:46:40.224272,1436,move_right,434.5,264.5,dx=77.5px
2026-06-12T07:46:40.812347,1440,move_left,365.5,261.0,dx=-69.0px
2026-06-12T07:46:41.940756,1448,move_right,441.5,266.5,dx=82.5px
2026-06-12T07:46:43.079321,1456,move_right,472.5,263.0,dx=32.0px
2026-06-12T07:46:44.306088,1464,move_right,517.5,255.5,dx=24.0px
2026-06-12T07:47:26.168412,2388,move_left,473.5,258.0,dx=-36.5px
2026-06-12T07:47:27.117516,2396,blink,412.5,257.0,
2026-06-12T07:47:27.118207,2396,move_left,412.5,257.0,dx=-26.0px
2026-06-12T07:47:28.074619,2404,move_left,394.0,254.5,dx=-20.5px
2026-06-12T07:47:28.559835,2408,blink,395.0,254.5,
2026-06-12T07:47:29.006145,2412,move_left,374.0,252.0,dx=-21.0px
2026-06-12T07:47:29.923202,2420,blink,360.0,253.5,
